,asset_name,assets,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
163,Inventories,903249577643.12000,-0.09043,0.33477,0.25499,0.39565,0.33477,0.34630,non-corporate,0.00000,2027
163,Inventories,903249577643.12000,-0.09050,0.33493,0.25512,0.39669,0.33493,0.34663,non-corporate,0.00000,2028
163,Inventories,903249577643.12000,-0.09058,0.33512,0.25527,0.39806,0.33512,0.34704,non-corporate,0.00000,2029
164,Land,9085894137334.34766,-0.19177,0.24965,0.16453,0.31563,0.24965,0.26237,non-corporate,0.00000,2020
164,Land,9085894137334.34766,-0.18479,0.24989,0.16578,0.31976,0.24989,0.26341,non-corporate,0.00000,2021
164,Land,9085894137334.34766,-0.18591,0.25084,0.16648,0.31977,0.25084,0.26416,non-corporate,0.00000,2022
164,Land,9085894137334.34766,-0.18658,0.25141,0.16693,0.32074,0.25141,0.26479,non-corporate,0.00000,2023
164,Land,9085894137334.34766,-0.18717,0.25192,0.16729,0.32072,0.25192,0.26518,non-corporate,0.00000,2024
164,Land,9085894137334.34766,-0.23485,0.28887,0.19498,0.31300,0.28887,0.29320,non-corporate,0.00000,2025
164,Land,9085894137334.34766,-0.23535,0.28923,0.19525,0.31392,0.28923,0.29365,non-corporate,0.00000,2026
164,Land,9085894137334.34766,-0.23568,0.28946,0.19544,0.31515,0.28946,0.29406,non-corporate,0.00000,2027
164,Land,9085894137334.34766,-0.23589,0.28961,0.19555,0.31625,0.28961,0.29438,non-corporate,0.00000,2028
164,Land,9085894137334.34766,-0.23612,0.28977,0.19566,0.31773,0.28977,0.29478,non-corporate,0.00000,2029
237,Overall,17036588869287.80469,-0.24485,0.21321,0.12440,0.28515,0.21321,0.22694,non-corporate,0.26575,2020
237,Overall,17036588869287.80469,-0.23288,0.21604,0.12866,0.29215,0.21604,0.23064,non-corporate,0.26339,2021
237,Overall,17036588869287.80469,-0.22760,0.22070,0.13354,0.29585,0.22070,0.23507,non-corporate,0.25746,2022
237,Overall,17036588869287.80469,-0.22184,0.22499,0.13817,0.30056,0.22499,0.23941,non-corporate,0.25152,2023
237,Overall,17036588869287.80469,-0.21602,0.22920,0.14271,0.30422,0.22920,0.24349,non-corporate,0.24559,2024
237,Overall,17036588869287.80469,-0.25822,0.26832,0.17275,0.30000,0.26832,0.27368,non-corporate,0.24066,2025
237,Overall,17036588869287.80469,-0.25096,0.27268,0.17762,0.30525,0.27268,0.27818,non-corporate,0.23478,2026
237,Overall,17036588869287.80469,-0.25128,0.27291,0.17780,0.30650,0.27291,0.27858,non-corporate,0.23478,2027
237,Overall,17036588869287.80469,-0.25148,0.27305,0.17791,0.30763,0.27305,0.27890,non-corporate,0.23478,2028
237,Overall,17036588869287.80469,-0.25171,0.27322,0.17801,0.30913,0.27322,0.27930,non-corporate,0.23480,2029
